Area,Season,Year,Months,Standard Deviation,Outlier Type
Liechtenstein,Winter,1978,February,2.814,High
Liechtenstein,Spring,1978,March,1.959,High
Mongolia,Winter,1978,February,3.021,High
Mongolia,Spring,1978,March,1.962,High
Mongolia,Fall,1978,November,2.235,High
Mongolia,Winter,1978,December,2.926,High
Netherlands,Winter,1978,February,2.75,High
Norway,Spring,1978,March,2.1,High
Norway,Summer,1978,June,1.468,High
Paraguay,Summer,1978,June,1.592,High
Paraguay,Summer,1978,July,2.058,High
Paraguay,Summer,1978,August,1.58,High
Poland,Winter,1978,January,2.587,High
Poland,Winter,1978,February,3.375,High
Poland,Spring,1978,March,2.815,High
Poland,Summer,1978,July,1.336,High
Romania,Winter,1978,February,3.065,High
Romania,Spring,1978,March,2.027,High
Romania,Fall,1978,November,1.88,High
South Georgia and the South Sandwich Islands,Summer,1978,August,1.56,High
Svalbard and Jan Mayen Islands,Winter,1978,January,4.373,High
Svalbard and Jan Mayen Islands,Winter,1978,February,3.639,High
Svalbard and Jan Mayen Islands,Spring,1978,March,3.906,High
Svalbard and Jan Mayen Islands,Spring,1978,April,2.492,High
Svalbard and Jan Mayen Islands,Fall,1978,October,2.636,High
Svalbard and Jan Mayen Islands,Fall,1978,November,3.946,High
Svalbard and Jan Mayen Islands,Winter,1978,December,4.189,High
Sweden,Winter,1978,January,2.681,High
Sweden,Winter,1978,February,3.178,High
Sweden,Spring,1978,March,2.462,High
Sweden,Summer,1978,June,1.359,High
Sweden,Fall,1978,November,1.927,High
Sweden,Winter,1978,December,2.699,High
Switzerland,Winter,1978,February,2.724,High
Switzerland,Spring,1978,March,1.836,High
Uruguay,Summer,1978,June,1.463,High
Uruguay,Summer,1978,July,1.606,High
Yugoslav SFR,Winter,1978,February,2.753,High
Northern Europe,Winter,1978,February,2.643,High
Northern Europe,Spring,1978,March,1.93,High
Afghanistan,Winter,1979,February,2.597,High
Antarctica,Spring,1979,April,1.868,High
Antarctica,Summer,1979,June,1.929,High
Antarctica,Summer,1979,July,1.801,High
Antarctica,Summer,1979,August,2.216,High
Antarctica,Fall,1979,September,2.058,High
Argentina,Summer,1979,July,1.424,High
Austria,Winter,1979,February,2.924,High
Austria,Spring,1979,March,2.054,High
Belgium-Luxembourg,Winter,1979,February,2.905,High
Belgium-Luxembourg,Spring,1979,March,1.844,High
Belgium-Luxembourg,Summer,1979,July,1.397,High
Bulgaria,Winter,1979,February,2.776,High
Bulgaria,Summer,1979,August,1.343,High
Canada,Spring,1979,March,1.875,High
Czechoslovakia,Winter,1979,February,3.13,High
Czechoslovakia,Spring,1979,March,2.322,High
Denmark,Winter,1979,February,2.55,High
Denmark,Spring,1979,March,2.01,High
Finland,Winter,1979,January,3.335,High
Finland,Winter,1979,February,3.566,High
Finland,Spring,1979,March,2.892,High
Finland,Summer,1979,June,1.583,High
Finland,Summer,1979,July,1.38,High
Finland,Fall,1979,October,1.915,High
Finland,Fall,1979,November,2.28,High
Finland,Winter,1979,December,3.499,High
Germany,Winter,1979,February,2.957,High
Germany,Spring,1979,March,2.037,High
Greenland,Spring,1979,March,2.021,High
Hungary,Winter,1979,February,3.171,High
Hungary,Spring,1979,March,2.223,High
Iceland,Spring,1979,March,2.196,High
Liechtenstein,Winter,1979,February,2.814,High
Liechtenstein,Spring,1979,March,1.959,High
Mongolia,Winter,1979,February,3.021,High
Mongolia,Spring,1979,March,1.962,High
Mongolia,Fall,1979,November,2.235,High
Mongolia,Winter,1979,December,2.926,High
Netherlands,Winter,1979,February,2.75,High
Norway,Spring,1979,March,2.1,High
Norway,Summer,1979,June,1.468,High
Paraguay,Summer,1979,June,1.592,High
Paraguay,Summer,1979,July,2.058,High
Paraguay,Summer,1979,August,1.58,High
Poland,Winter,1979,January,2.587,High
Poland,Winter,1979,February,3.375,High
Poland,Spring,1979,March,2.815,High
Poland,Summer,1979,July,1.336,High
Romania,Winter,1979,February,3.065,High
Romania,Spring,1979,March,2.027,High
Romania,Fall,1979,November,1.88,High
South Georgia and the South Sandwich Islands,Summer,1979,August,1.56,High
Svalbard and Jan Mayen Islands,Winter,1979,January,4.373,High
Svalbard and Jan Mayen Islands,Winter,1979,February,3.639,High
Svalbard and Jan Mayen Islands,Spring,1979,March,3.906,High
Svalbard and Jan Mayen Islands,Spring,1979,April,2.492,High
Svalbard and Jan Mayen Islands,Fall,1979,October,2.636,High
Svalbard and Jan Mayen Islands,Fall,1979,November,3.946,High
Svalbard and Jan Mayen Islands,Winter,1979,December,4.189,High
Sweden,Winter,1979,January,2.681,High
Sweden,Winter,1979,February,3.178,High
Sweden,Spring,1979,March,2.462,High
Sweden,Summer,1979,June,1.359,High
Sweden,Fall,1979,November,1.927,High
Sweden,Winter,1979,December,2.699,High
Switzerland,Winter,1979,February,2.724,High
Switzerland,Spring,1979,March,1.836,High
Uruguay,Summer,1979,June,1.463,High
Uruguay,Summer,1979,July,1.606,High
Yugoslav SFR,Winter,1979,February,2.753,High
Northern Europe,Winter,1979,February,2.643,High
Northern Europe,Spring,1979,March,1.93,High
Afghanistan,Winter,1980,February,2.597,High
Antarctica,Spring,1980,April,1.868,High
Antarctica,Summer,1980,June,1.929,High
Antarctica,Summer,1980,July,1.801,High
Antarctica,Summer,1980,August,2.216,High
Antarctica,Fall,1980,September,2.058,High
Argentina,Summer,1980,July,1.424,High
Austria,Winter,1980,February,2.924,High
Austria,Spring,1980,March,2.054,High
Belgium-Luxembourg,Winter,1980,February,2.905,High
Belgium-Luxembourg,Spring,1980,March,1.844,High
Belgium-Luxembourg,Summer,1980,July,1.397,High
Bulgaria,Winter,1980,February,2.776,High
Bulgaria,Summer,1980,August,1.343,High
Canada,Spring,1980,March,1.875,High
Czechoslovakia,Winter,1980,February,3.13,High
Czechoslovakia,Spring,1980,March,2.322,High
Denmark,Winter,1980,February,2.55,High
Denmark,Spring,1980,March,2.01,High
Finland,Winter,1980,January,3.335,High
Finland,Winter,1980,February,3.566,High
Finland,Spring,1980,March,2.892,High
Finland,Summer,1980,June,1.583,High
Finland,Summer,1980,July,1.38,High
Finland,Fall,1980,October,1.915,High
Finland,Fall,1980,November,2.28,High
Finland,Winter,1980,December,3.499,High
Germany,Winter,1980,February,2.957,High
Germany,Spring,1980,March,2.037,High
Greenland,Spring,1980,March,2.021,High
Hungary,Winter,1980,February,3.171,High
Hungary,Spring,1980,March,2.223,High
Iceland,Spring,1980,March,2.196,High
Liechtenstein,Winter,1980,February,2.814,High
Liechtenstein,Spring,1980,March,1.959,High
Mongolia,Winter,1980,February,3.021,High
Mongolia,Spring,1980,March,1.962,High
Mongolia,Fall,1980,November,2.235,High
Mongolia,Winter,1980,December,2.926,High
Netherlands,Winter,1980,February,2.75,High
Norway,Spring,1980,March,2.1,High
Norway,Summer,1980,June,1.468,High
Paraguay,Summer,1980,June,1.592,High
Paraguay,Summer,1980,July,2.058,High
Paraguay,Summer,1980,August,1.58,High
Poland,Winter,1980,January,2.587,High
Poland,Winter,1980,February,3.375,High
Poland,Spring,1980,March,2.815,High
Poland,Summer,1980,July,1.336,High
Romania,Winter,1980,February,3.065,High
Romania,Spring,1980,March,2.027,High
Romania,Fall,1980,November,1.88,High
South Georgia and the South Sandwich Islands,Summer,1980,August,1.56,High
Svalbard and Jan Mayen Islands,Winter,1980,January,4.373,High
Svalbard and Jan Mayen Islands,Winter,1980,February,3.639,High
Svalbard and Jan Mayen Islands,Spring,1980,March,3.906,High
Svalbard and Jan Mayen Islands,Spring,1980,April,2.492,High
Svalbard and Jan Mayen Islands,Fall,1980,October,2.636,High
Svalbard and Jan Mayen Islands,Fall,1980,November,3.946,High
Svalbard and Jan Mayen Islands,Winter,1980,December,4.189,High
Sweden,Winter,1980,January,2.681,High
Sweden,Winter,1980,February,3.178,High
Sweden,Spring,1980,March,2.462,High
Sweden,Summer,1980,June,1.359,High
Sweden,Fall,1980,November,1.927,High
Sweden,Winter,1980,December,2.699,High
Switzerland,Winter,1980,February,2.724,High
Switzerland,Spring,1980,March,1.836,High
Uruguay,Summer,1980,June,1.463,High
Uruguay,Summer,1980,July,1.606,High
Yugoslav SFR,Winter,1980,February,2.753,High
Northern Europe,Winter,1980,February,2.643,High
Northern Europe,Spring,1980,March,1.93,High
Afghanistan,Winter,1981,February,2.597,High
Antarctica,Spring,1981,April,1.868,High
Antarctica,Summer,1981,June,1.929,High
Antarctica,Summer,1981,July,1.801,High
Antarctica,Summer,1981,August,2.216,High
Antarctica,Fall,1981,September,2.058,High
Argentina,Summer,1981,July,1.424,High
Austria,Winter,1981,February,2.924,High
Austria,Spring,1981,March,2.054,High
Belgium-Luxembourg,Winter,1981,February,2.905,High
Belgium-Luxembourg,Spring,1981,March,1.844,High
Belgium-Luxembourg,Summer,1981,July,1.397,High
Bulgaria,Winter,1981,February,2.776,High
Bulgaria,Summer,1981,August,1.343,High
Canada,Spring,1981,March,1.875,High
Czechoslovakia,Winter,1981,February,3.13,High
Czechoslovakia,Spring,1981,March,2.322,High
Denmark,Winter,1981,February,2.55,High
Denmark,Spring,1981,March,2.01,High
Finland,Winter,1981,January,3.335,High
Finland,Winter,1981,February,3.566,High
Finland,Spring,1981,March,2.892,High
Finland,Summer,1981,June,1.583,High
Finland,Summer,1981,July,1.38,High
Finland,Fall,1981,October,1.915,High
Finland,Fall,1981,November,2.28,High
Finland,Winter,1981,December,3.499,High
Germany,Winter,1981,February,2.957,High
Germany,Spring,1981,March,2.037,High
Greenland,Spring,1981,March,2.021,High
Hungary,Winter,1981,February,3.171,High
Hungary,Spring,1981,March,2.223,High
Iceland,Spring,1981,March,2.196,High
Liechtenstein,Winter,1981,February,2.814,High
Liechtenstein,Spring,1981,March,1.959,High
Mongolia,Winter,1981,February,3.021,High
Mongolia,Spring,1981,March,1.962,High
Mongolia,Fall,1981,November,2.235,High
Mongolia,Winter,1981,December,2.926,High
Netherlands,Winter,1981,February,2.75,High
Norway,Spring,1981,March,2.1,High
Norway,Summer,1981,June,1.468,High
Paraguay,Summer,1981,June,1.592,High
Paraguay,Summer,1981,July,2.058,High
Paraguay,Summer,1981,August,1.58,High
Poland,Winter,1981,January,2.587,High
Poland,Winter,1981,February,3.375,High
Poland,Spring,1981,March,2.815,High
Poland,Summer,1981,July,1.336,High
Romania,Winter,1981,February,3.065,High
Romania,Spring,1981,March,2.027,High
Romania,Fall,1981,November,1.88,High
South Georgia and the South Sandwich Islands,Summer,1981,August,1.56,High
Svalbard and Jan Mayen Islands,Winter,1981,January,4.373,High
Svalbard and Jan Mayen Islands,Winter,1981,February,3.639,High
Svalbard and Jan Mayen Islands,Spring,1981,March,3.906,High
Svalbard and Jan Mayen Islands,Spring,1981,April,2.492,High
Svalbard and Jan Mayen Islands,Fall,1981,October,2.636,High
Svalbard and Jan Mayen Islands,Fall,1981,November,3.946,High
Svalbard and Jan Mayen Islands,Winter,1981,December,4.189,High
Sweden,Winter,1981,January,2.681,High
Sweden,Winter,1981,February,3.178,High
Sweden,Spring,1981,March,2.462,High
Sweden,Summer,1981,June,1.359,High
Sweden,Fall,1981,November,1.927,High
Sweden,Winter,1981,December,2.699,High
Switzerland,Winter,1981,February,2.724,High
Switzerland,Spring,1981,March,1.836,High
Uruguay,Summer,1981,June,1.463,High
Uruguay,Summer,1981,July,1.606,High
Yugoslav SFR,Winter,1981,February,2.753,High
Northern Europe,Winter,1981,February,2.643,High
Northern Europe,Spring,1981,March,1.93,High
Afghanistan,Winter,1982,February,2.597,High
Antarctica,Spring,1982,April,1.868,High
Antarctica,Summer,1982,June,1.929,High
Antarctica,Summer,1982,July,1.801,High
Antarctica,Summer,1982,August,2.216,High
Antarctica,Fall,1982,September,2.058,High
Argentina,Summer,1982,July,1.424,High
Austria,Winter,1982,February,2.924,High
Austria,Spring,1982,March,2.054,High
Belgium-Luxembourg,Winter,1982,February,2.905,High
Belgium-Luxembourg,Spring,1982,March,1.844,High
Belgium-Luxembourg,Summer,1982,July,1.397,High
Bulgaria,Winter,1982,February,2.776,High
Bulgaria,Summer,1982,August,1.343,High
Canada,Spring,1982,March,1.875,High
Czechoslovakia,Winter,1982,February,3.13,High
Czechoslovakia,Spring,1982,March,2.322,High
Denmark,Winter,1982,February,2.55,High
Denmark,Spring,1982,March,2.01,High
Finland,Winter,1982,January,3.335,High
Finland,Winter,1982,February,3.566,High
Finland,Spring,1982,March,2.892,High
Finland,Summer,1982,June,1.583,High
Finland,Summer,1982,July,1.38,High
Finland,Fall,1982,October,1.915,High
Finland,Fall,1982,November,2.28,High
Finland,Winter,1982,December,3.499,High
Germany,Winter,1982,February,2.957,High
Germany,Spring,1982,March,2.037,High
Greenland,Spring,1982,March,2.021,High
Hungary,Winter,1982,February,3.171,High
Hungary,Spring,1982,March,2.223,High
Iceland,Spring,1982,March,2.196,High
Liechtenstein,Winter,1982,February,2.814,High
Liechtenstein,Spring,1982,March,1.959,High
Mongolia,Winter,1982,February,3.021,High
Mongolia,Spring,1982,March,1.962,High
Mongolia,Fall,1982,November,2.235,High
Mongolia,Winter,1982,December,2.926,High
Netherlands,Winter,1982,February,2.75,High
Norway,Spring,1982,March,2.1,High
Norway,Summer,1982,June,1.468,High
Paraguay,Summer,1982,June,1.592,High
Paraguay,Summer,1982,July,2.058,High
Paraguay,Summer,1982,August,1.58,High
Poland,Winter,1982,January,2.587,High
Poland,Winter,1982,February,3.375,High
Poland,Spring,1982,March,2.815,High
Poland,Summer,1982,July,1.336,High
Romania,Winter,1982,February,3.065,High
Romania,Spring,1982,March,2.027,High
Romania,Fall,1982,November,1.88,High
Svalbard and Jan Mayen Islands,Winter,1982,January,4.373,High
Svalbard and Jan Mayen Islands,Winter,1982,February,3.639,High
Svalbard and Jan Mayen Islands,Spring,1982,March,3.906,High
Svalbard and Jan Mayen Islands,Spring,1982,April,2.492,High
Svalbard and Jan Mayen Islands,Fall,1982,October,2.636,High
Svalbard and Jan Mayen Islands,Fall,1982,November,3.946,High
Svalbard and Jan Mayen Islands,Winter,1982,December,4.189,High
Sweden,Winter,1982,January,2.681,High
Sweden,Winter,1982,February,3.178,High
Sweden,Spring,1982,March,2.462,High
Sweden,Summer,1982,June,1.359,High
Sweden,Fall,1982,November,1.927,High
Sweden,Winter,1982,December,2.699,High
Switzerland,Winter,1982,February,2.724,High
Switzerland,Spring,1982,March,1.836,High
Uruguay,Summer,1982,June,1.463,High
Uruguay,Summer,1982,July,1.606,High
Yugoslav SFR,Winter,1982,February,2.753,High
Northern Europe,Winter,1982,February,2.643,High
Northern Europe,Spring,1982,March,1.93,High
Afghanistan,Winter,1983,February,2.597,High
Antarctica,Spring,1983,April,1.868,High
Antarctica,Summer,1983,June,1.929,High
Antarctica,Summer,1983,July,1.801,High
Antarctica,Summer,1983,August,2.216,High
Antarctica,Fall,1983,September,2.058,High
Argentina,Summer,1983,July,1.424,High
Austria,Winter,1983,February,2.924,High
Austria,Spring,1983,March,2.054,High
Belgium-Luxembourg,Winter,1983,February,2.905,High
Belgium-Luxembourg,Spring,1983,March,1.844,High
Belgium-Luxembourg,Summer,1983,July,1.397,High
Bulgaria,Winter,1983,February,2.776,High
Bulgaria,Summer,1983,August,1.343,High
Canada,Spring,1983,March,1.875,High
Czechoslovakia,Winter,1983,February,3.13,High
Czechoslovakia,Spring,1983,March,2.322,High
Denmark,Winter,1983,February,2.55,High
Denmark,Spring,1983,March,2.01,High
Finland,Winter,1983,January,3.335,High
Finland,Winter,1983,February,3.566,High
Finland,Spring,1983,March,2.892,High
Finland,Summer,1983,June,1.583,High
Finland,Summer,1983,July,1.38,High
Finland,Fall,1983,October,1.915,High
Finland,Fall,1983,November,2.28,High
Finland,Winter,1983,December,3.499,High
Germany,Winter,1983,February,2.957,High
Germany,Spring,1983,March,2.037,High
Greenland,Spring,1983,March,2.021,High
Hungary,Winter,1983,February,3.171,High
Hungary,Spring,1983,March,2.223,High
Iceland,Spring,1983,March,2.196,High
Liechtenstein,Winter,1983,February,2.814,High
Liechtenstein,Spring,1983,March,1.959,High
Mongolia,Winter,1983,February,3.021,High
Mongolia,Spring,1983,March,1.962,High
Mongolia,Fall,1983,November,2.235,High
Mongolia,Winter,1983,December,2.926,High
Netherlands,Winter,1983,February,2.75,High
Norway,Spring,1983,March,2.1,High
Norway,Summer,1983,June,1.468,High
Paraguay,Summer,1983,June,1.592,High
Paraguay,Summer,1983,July,2.058,High
Paraguay,Summer,1983,August,1.58,High
Poland,Winter,1983,January,2.587,High
Poland,Winter,1983,February,3.375,High
Poland,Spring,1983,March,2.815,High
Poland,Summer,1983,July,1.336,High
Romania,Winter,1983,February,3.065,High
Romania,Spring,1983,March,2.027,High
Romania,Fall,1983,November,1.88,High
Svalbard and Jan Mayen Islands,Winter,1983,January,4.373,High
Svalbard and Jan Mayen Islands,Winter,1983,February,3.639,High
Svalbard and Jan Mayen Islands,Spring,1983,March,3.906,High
Svalbard and Jan Mayen Islands,Spring,1983,April,2.492,High
Svalbard and Jan Mayen Islands,Fall,1983,October,2.636,High
Svalbard and Jan Mayen Islands,Fall,1983,November,3.946,High
Svalbard and Jan Mayen Islands,Winter,1983,December,4.189,High
Sweden,Winter,1983,January,2.681,High
Sweden,Winter,1983,February,3.178,High
Sweden,Spring,1983,March,2.462,High
Sweden,Summer,1983,June,1.359,High
Sweden,Fall,1983,November,1.927,High
Sweden,Winter,1983,December,2.699,High
Switzerland,Winter,1983,February,2.724,High
Switzerland,Spring,1983,March,1.836,High
Uruguay,Summer,1983,June,1.463,High
Uruguay,Summer,1983,July,1.606,High
Yugoslav SFR,Winter,1983,February,2.753,High
Northern Europe,Winter,1983,February,2.643,High
Northern Europe,Spring,1983,March,1.93,High
Afghanistan,Winter,1984,February,2.597,High
Antarctica,Spring,1984,April,1.868,High
Antarctica,Summer,1984,June,1.929,High
Antarctica,Summer,1984,July,1.801,High
Antarctica,Summer,1984,August,2.216,High
Antarctica,Fall,1984,September,2.058,High
Argentina,Summer,1984,July,1.424,High
Austria,Winter,1984,February,2.924,High
Austria,Spring,1984,March,2.054,High
Belgium-Luxembourg,Winter,1984,February,2.905,High
Belgium-Luxembourg,Spring,1984,March,1.844,High
Belgium-Luxembourg,Summer,1984,July,1.397,High
Bulgaria,Winter,1984,February,2.776,High
Bulgaria,Summer,1984,August,1.343,High
Canada,Spring,1984,March,1.875,High
Czechoslovakia,Winter,1984,February,3.13,High
Czechoslovakia,Spring,1984,March,2.322,High
Denmark,Winter,1984,February,2.55,High
Denmark,Spring,1984,March,2.01,High
Finland,Winter,1984,January,3.335,High
Finland,Winter,1984,February,3.566,High
Finland,Spring,1984,March,2.892,High
Finland,Summer,1984,June,1.583,High
Finland,Summer,1984,July,1.38,High
Finland,Fall,1984,October,1.915,High
Finland,Fall,1984,November,2.28,High
Finland,Winter,1984,December,3.499,High
Germany,Winter,1984,February,2.957,High
Germany,Spring,1984,March,2.037,High
Greenland,Spring,1984,March,2.021,High
Hungary,Winter,1984,February,3.171,High
Hungary,Spring,1984,March,2.223,High
Iceland,Spring,1984,March,2.196,High
Liechtenstein,Winter,1984,February,2.814,High
Liechtenstein,Spring,1984,March,1.959,High
Mongolia,Winter,1984,February,3.021,High
Mongolia,Spring,1984,March,1.962,High
Mongolia,Fall,1984,November,2.235,High
Mongolia,Winter,1984,December,2.926,High
Netherlands,Winter,1984,February,2.75,High
Norway,Spring,1984,March,2.1,High
Norway,Summer,1984,June,1.468,High
Paraguay,Summer,1984,June,1.592,High
Paraguay,Summer,1984,July,2.058,High
Paraguay,Summer,1984,August,1.58,High
Poland,Winter,1984,January,2.587,High
Poland,Winter,1984,February,3.375,High
Poland,Spring,1984,March,2.815,High
Poland,Summer,1984,July,1.336,High
Romania,Winter,1984,February,3.065,High
Romania,Spring,1984,March,2.027,High
Romania,Fall,1984,November,1.88,High
South Georgia and the South Sandwich Islands,Summer,1984,August,1.56,High
Svalbard and Jan Mayen Islands,Winter,1984,January,4.373,High
Svalbard and Jan Mayen Islands,Winter,1984,February,3.639,High
Svalbard and Jan Mayen Islands,Spring,1984,March,3.906,High
Svalbard and Jan Mayen Islands,Spring,1984,April,2.492,High
Svalbard and Jan Mayen Islands,Fall,1984,October,2.636,High
Svalbard and Jan Mayen Islands,Fall,1984,November,3.946,High
Svalbard and Jan Mayen Islands,Winter,1984,December,4.189,High
Sweden,Winter,1984,January,2.681,High
Sweden,Winter,1984,February,3.178,High
Sweden,Spring,1984,March,2.462,High
Sweden,Summer,1984,June,1.359,High
Sweden,Fall,1984,November,1.927,High
Sweden,Winter,1984,December,2.699,High
Switzerland,Winter,1984,February,2.724,High
Switzerland,Spring,1984,March,1.836,High
Uruguay,Summer,1984,June,1.463,High
Uruguay,Summer,1984,July,1.606,High
Yugoslav SFR,Winter,1984,February,2.753,High
Northern Europe,Winter,1984,February,2.643,High
Northern Europe,Spring,1984,March,1.93,High
Afghanistan,Winter,1985,February,2.597,High
Antarctica,Spring,1985,April,1.868,High
Antarctica,Summer,1985,June,1.929,High
Antarctica,Summer,1985,July,1.801,High
Antarctica,Summer,1985,August,2.216,High
Antarctica,Fall,1985,September,2.058,High
Argentina,Summer,1985,July,1.424,High
Austria,Winter,1985,February,2.924,High
Austria,Spring,1985,March,2.054,High
Belgium-Luxembourg,Winter,1985,February,2.905,High
Belgium-Luxembourg,Spring,1985,March,1.844,High
Belgium-Luxembourg,Summer,1985,July,1.397,High
Bulgaria,Winter,1985,February,2.776,High
Bulgaria,Summer,1985,August,1.343,High
Canada,Spring,1985,March,1.875,High
Czechoslovakia,Winter,1985,February,3.13,High
Czechoslovakia,Spring,1985,March,2.322,High
Denmark,Winter,1985,February,2.55,High
Denmark,Spring,1985,March,2.01,High
Finland,Winter,1985,January,3.335,High
Finland,Winter,1985,February,3.566,High
Finland,Spring,1985,March,2.892,High
Finland,Summer,1985,June,1.583,High
Finland,Summer,1985,July,1.38,High
Finland,Fall,1985,October,1.915,High
Finland,Fall,1985,November,2.28,High
Finland,Winter,1985,December,3.499,High
Germany,Winter,1985,February,2.957,High
Germany,Spring,1985,March,2.037,High
Greenland,Spring,1985,March,2.021,High
Hungary,Winter,1985,February,3.171,High
Hungary,Spring,1985,March,2.223,High
Iceland,Spring,1985,March,2.196,High
Liechtenstein,Winter,1985,February,2.814,High
Liechtenstein,Spring,1985,March,1.959,High
Mongolia,Winter,1985,February,3.021,High
Mongolia,Spring,1985,March,1.962,High
Mongolia,Fall,1985,November,2.235,High
Mongolia,Winter,1985,December,2.926,High
Netherlands,Winter,1985,February,2.75,High
Norway,Spring,1985,March,2.1,High
Norway,Summer,1985,June,1.468,High
Paraguay,Summer,1985,June,1.592,High
Paraguay,Summer,1985,July,2.058,High
Paraguay,Summer,1985,August,1.58,High
Poland,Winter,1985,January,2.587,High
Poland,Winter,1985,February,3.375,High
Poland,Spring,1985,March,2.815,High
Poland,Summer,1985,July,1.336,High
Romania,Winter,1985,February,3.065,High
Romania,Spring,1985,March,2.027,High
Romania,Fall,1985,November,1.88,High
South Georgia and the South Sandwich Islands,Summer,1985,August,1.56,High
Svalbard and Jan Mayen Islands,Winter,1985,January,4.373,High
Svalbard and Jan Mayen Islands,Winter,1985,February,3.639,High
Svalbard and Jan Mayen Islands,Spring,1985,March,3.906,High
Svalbard and Jan Mayen Islands,Spring,1985,April,2.492,High
Svalbard and Jan Mayen Islands,Fall,1985,October,2.636,High
Svalbard and Jan Mayen Islands,Fall,1985,November,3.946,High
Svalbard and Jan Mayen Islands,Winter,1985,December,4.189,High
Sweden,Winter,1985,January,2.681,High
Sweden,Winter,1985,February,3.178,High
Sweden,Spring,1985,March,2.462,High
Sweden,Summer,1985,June,1.359,High
Sweden,Fall,1985,November,1.927,High
Sweden,Winter,1985,December,2.699,High
Switzerland,Winter,1985,February,2.724,High
Switzerland,Spring,1985,March,1.836,High
Uruguay,Summer,1985,June,1.463,High
Uruguay,Summer,1985,July,1.606,High
Yugoslav SFR,Winter,1985,February,2.753,High
Northern Europe,Winter,1985,February,2.643,High
Northern Europe,Spring,1985,March,1.93,High
Afghanistan,Winter,1986,February,2.597,High
Antarctica,Spring,1986,April,1.868,High
Antarctica,Summer,1986,June,1.929,High
Antarctica,Summer,1986,July,1.801,High
Antarctica,Summer,1986,August,2.216,High
Antarctica,Fall,1986,September,2.058,High
Argentina,Summer,1986,July,1.424,High
Austria,Winter,1986,February,2.924,High
Austria,Spring,1986,March,2.054,High
Belgium-Luxembourg,Winter,1986,February,2.905,High
Belgium-Luxembourg,Spring,1986,March,1.844,High
Belgium-Luxembourg,Summer,1986,July,1.397,High
Bulgaria,Winter,1986,February,2.776,High
Bulgaria,Summer,1986,August,1.343,High
Canada,Spring,1986,March,1.875,High
Czechoslovakia,Winter,1986,February,3.13,High
Czechoslovakia,Spring,1986,March,2.322,High
Denmark,Winter,1986,February,2.55,High
Denmark,Spring,1986,March,2.01,High
Finland,Winter,1986,January,3.335,High
Finland,Winter,1986,February,3.566,High
Finland,Spring,1986,March,2.892,High
Finland,Summer,1986,June,1.583,High
Finland,Summer,1986,July,1.38,High
Finland,Fall,1986,October,1.915,High
Finland,Fall,1986,November,2.28,High
Finland,Winter,1986,December,3.499,High
Germany,Winter,1986,February,2.957,High
Germany,Spring,1986,March,2.037,High
Greenland,Spring,1986,March,2.021,High
Hungary,Winter,1986,February,3.171,High
Hungary,Spring,1986,March,2.223,High
Iceland,Spring,1986,March,2.196,High
Liechtenstein,Winter,1986,February,2.814,High
Liechtenstein,Spring,1986,March,1.959,High
Mongolia,Winter,1986,February,3.021,High
Mongolia,Spring,1986,March,1.962,High
Mongolia,Fall,1986,November,2.235,High
Mongolia,Winter,1986,December,2.926,High
Netherlands,Winter,1986,February,2.75,High
Norway,Spring,1986,March,2.1,High
Norway,Summer,1986,June,1.468,High
Paraguay,Summer,1986,June,1.592,High
Paraguay,Summer,1986,July,2.058,High
Paraguay,Summer,1986,August,1.58,High
Poland,Winter,1986,January,2.587,High
Poland,Winter,1986,February,3.375,High
Poland,Spring,1986,March,2.815,High
Poland,Summer,1986,July,1.336,High
Romania,Winter,1986,February,3.065,High
Romania,Spring,1986,March,2.027,High
Romania,Fall,1986,November,1.88,High
South Georgia and the South Sandwich Islands,Summer,1986,August,1.56,High
Svalbard and Jan Mayen Islands,Winter,1986,January,4.373,High
Svalbard and Jan Mayen Islands,Winter,1986,February,3.639,High
Svalbard and Jan Mayen Islands,Spring,1986,March,3.906,High
Svalbard and Jan Mayen Islands,Spring,1986,April,2.492,High
Svalbard and Jan Mayen Islands,Fall,1986,October,2.636,High
Svalbard and Jan Mayen Islands,Fall,1986,November,3.946,High
Svalbard and Jan Mayen Islands,Winter,1986,December,4.189,High
Sweden,Winter,1986,January,2.681,High
Sweden,Winter,1986,February,3.178,High
Sweden,Spring,1986,March,2.462,High
Sweden,Summer,1986,June,1.359,High
Sweden,Fall,1986,November,1.927,High
Sweden,Winter,1986,December,2.699,High
Switzerland,Winter,1986,February,2.724,High
Switzerland,Spring,1986,March,1.836,High
Uruguay,Summer,1986,June,1.463,High
Uruguay,Summer,1986,July,1.606,High
Yugoslav SFR,Winter,1986,February,2.753,High
Northern Europe,Winter,1986,February,2.643,High
Northern Europe,Spring,1986,March,1.93,High
Afghanistan,Winter,1987,February,2.597,High
Antarctica,Spring,1987,April,1.868,High
Antarctica,Summer,1987,June,1.929,High
Antarctica,Summer,1987,July,1.801,High
Antarctica,Summer,1987,August,2.216,High
Antarctica,Fall,1987,September,2.058,High
Argentina,Summer,1987,July,1.424,High
Austria,Winter,1987,February,2.924,High
Austria,Spring,1987,March,2.054,High
Belgium-Luxembourg,Winter,1987,February,2.905,High
Belgium-Luxembourg,Spring,1987,March,1.844,High
Belgium-Luxembourg,Summer,1987,July,1.397,High
Bulgaria,Winter,1987,February,2.776,High
Bulgaria,Summer,1987,August,1.343,High
