Area,Season,Year,Months,Temperature Change,Outlier Type
Ukraine,Fall,1995,November,-2.418,Low
Ukraine,Winter,1995,December,-3.033,Low
United Arab Emirates,Spring,1995,March,-1.936,Low
United Kingdom,Summer,1995,August,2.956,High
United Kingdom,Winter,1995,December,-2.259,Low
Uzbekistan,Fall,1995,November,4.02,High
Zimbabwe,Fall,1995,October,2.601,High
Central Asia,Winter,1995,February,4.108,High
Central Asia,Spring,1995,April,3.48,High
Central Asia,Fall,1995,November,3.965,High
Europe,Winter,1995,January,3.113,High
Europe,Winter,1995,February,6.407,High
Eastern Europe,Winter,1995,January,3.509,High
Eastern Europe,Winter,1995,February,7.074,High
Eastern Europe,Spring,1995,March,2.988,High
Eastern Europe,Fall,1995,November,2.582,High
Northern Europe,Winter,1995,February,4.002,High
Northern Europe,Winter,1995,December,-2.713,Low
Western Europe,Winter,1995,February,3.738,High
Western Europe,Summer,1995,July,3.104,High
Western Europe,Fall,1995,October,3.124,High
European Union,Winter,1995,February,3.862,High
Annex I countries,Winter,1995,February,3.251,High
Albania,Spring,1996,March,-2.114,Low
Albania,Fall,1996,September,-2.313,Low
Andorra,Winter,1996,January,3.263,High
Andorra,Fall,1996,September,-1.763,Low
Antarctica,Spring,1996,May,-2.889,Low
Antarctica,Summer,1996,July,4.13,High
Antarctica,Summer,1996,August,4.209,High
Antarctica,Fall,1996,September,3.359,High
Armenia,Winter,1996,December,4.59,High
Austria,Winter,1996,February,-2.46,Low
Austria,Spring,1996,March,-2.196,Low
Austria,Fall,1996,September,-2.8,Low
Azerbaijan,Winter,1996,December,3.269,High
Belarus,Winter,1996,January,-2.339,Low
Belarus,Winter,1996,February,-2.378,Low
Belarus,Spring,1996,March,-2.237,Low
Belarus,Spring,1996,May,3.076,High
Belarus,Fall,1996,September,-2.2,Low
Belarus,Fall,1996,November,4.125,High
Belarus,Winter,1996,December,-3.113,Low
Belgium-Luxembourg,Fall,1996,September,-1.927,Low
Belgium-Luxembourg,Winter,1996,December,-2.415,Low
Bosnia and Herzegovina,Winter,1996,February,-2.075,Low
Bosnia and Herzegovina,Spring,1996,March,-2.578,Low
Bosnia and Herzegovina,Fall,1996,September,-2.983,Low
Bulgaria,Winter,1996,February,-2.367,Low
Bulgaria,Spring,1996,March,-3.842,Low
Bulgaria,Fall,1996,September,-1.971,Low
Canada,Winter,1996,January,-2.225,Low
"China, Hong Kong SAR",Winter,1996,February,-2.08,Low
"China, Hong Kong SAR",Spring,1996,April,-2.411,Low
"China, Macao SAR",Winter,1996,February,-2.08,Low
"China, Macao SAR",Spring,1996,April,-2.411,Low
"China, Taiwan Province of",Spring,1996,April,-2.311,Low
Croatia,Winter,1996,February,-2.146,Low
Croatia,Spring,1996,March,-2.194,Low
Croatia,Fall,1996,September,-2.888,Low
Czechia,Winter,1996,February,-2.81,Low
Czechia,Spring,1996,March,-2.719,Low
Czechia,Fall,1996,September,-2.915,Low
Czechia,Winter,1996,December,-3.35,Low
Denmark,Winter,1996,February,-2.466,Low
Denmark,Winter,1996,December,-2.415,Low
Djibouti,Spring,1996,April,3.125,High
Estonia,Winter,1996,February,-3.41,Low
Estonia,Fall,1996,November,2.919,High
Faroe Islands,Fall,1996,November,-3.235,Low
Finland,Winter,1996,January,3.093,High
France,Fall,1996,September,-1.709,Low
Georgia,Winter,1996,December,3.285,High
Germany,Winter,1996,February,-2.202,Low
Germany,Spring,1996,March,-2.025,Low
Germany,Fall,1996,September,-2.295,Low
Germany,Winter,1996,December,-2.744,Low
Greece,Spring,1996,March,-2.167,Low
Greenland,Spring,1996,March,2.86,High
Greenland,Spring,1996,April,3.513,High
Holy See,Fall,1996,September,-2.317,Low
Hungary,Winter,1996,February,-3.236,Low
Hungary,Spring,1996,March,-3.038,Low
Hungary,Fall,1996,September,-3.026,Low
Hungary,Winter,1996,December,-2.076,Low
Iceland,Fall,1996,September,2.777,High
Iceland,Fall,1996,November,-3.043,Low
Isle of Man,Spring,1996,May,-1.811,Low
Italy,Fall,1996,September,-2.088,Low
Kazakhstan,Winter,1996,January,-2.436,Low
Kazakhstan,Spring,1996,March,-2.533,Low
Kazakhstan,Spring,1996,April,-2.653,Low
Kuwait,Winter,1996,December,3.171,High
Kyrgyzstan,Spring,1996,April,-2.445,Low
Latvia,Winter,1996,February,-3.217,Low
Latvia,Fall,1996,September,-1.911,Low
Latvia,Fall,1996,November,2.843,High
Latvia,Winter,1996,December,-2.606,Low
Lesotho,Summer,1996,July,-1.712,Low
Libya,Fall,1996,September,2.701,High
Liechtenstein,Fall,1996,September,-3.014,Low
Lithuania,Winter,1996,January,-2.137,Low
Lithuania,Winter,1996,February,-2.888,Low
Lithuania,Spring,1996,March,-1.895,Low
Lithuania,Fall,1996,September,-2.143,Low
Lithuania,Fall,1996,November,2.893,High
Lithuania,Winter,1996,December,-3.616,Low
Mauritania,Winter,1996,January,2.959,High
Monaco,Fall,1996,September,-1.927,Low
Mongolia,Winter,1996,December,3.612,High
Netherlands,Winter,1996,February,-2.135,Low
Netherlands,Winter,1996,December,-2.687,Low
North Macedonia,Spring,1996,March,-3.019,Low
North Macedonia,Fall,1996,September,-2.248,Low
Paraguay,Summer,1996,June,-2.026,Low
Paraguay,Summer,1996,August,2.561,High
Poland,Winter,1996,February,-2.819,Low
Poland,Spring,1996,March,-2.874,Low
Poland,Fall,1996,September,-2.831,Low
Poland,Winter,1996,December,-3.77,Low
Portugal,Summer,1996,June,2.643,High
Republic of Moldova,Winter,1996,January,-3.143,Low
Republic of Moldova,Winter,1996,February,-2.942,Low
Republic of Moldova,Spring,1996,March,-3.898,Low
Republic of Moldova,Spring,1996,May,3.12,High
Republic of Moldova,Fall,1996,September,-3.035,Low
Republic of Moldova,Fall,1996,November,3.69,High
Romania,Winter,1996,February,-2.526,Low
Romania,Spring,1996,March,-4.027,Low
Romania,Fall,1996,September,-2.77,Low
Russian Federation,Fall,1996,November,2.909,High
San Marino,Fall,1996,September,-2.451,Low
Serbia and Montenegro,Winter,1996,February,-2.214,Low
Serbia and Montenegro,Spring,1996,March,-3.333,Low
Serbia and Montenegro,Fall,1996,September,-2.955,Low
Slovakia,Winter,1996,February,-2.995,Low
Slovakia,Spring,1996,March,-3.018,Low
Slovakia,Fall,1996,September,-3.088,Low
Slovakia,Winter,1996,December,-3.064,Low
Slovenia,Winter,1996,February,-2.568,Low
Slovenia,Spring,1996,March,-2.231,Low
Slovenia,Fall,1996,September,-2.649,Low
Svalbard and Jan Mayen Islands,Winter,1996,January,5.028,High
Svalbard and Jan Mayen Islands,Spring,1996,March,7.27,High
Svalbard and Jan Mayen Islands,Fall,1996,November,3.743,High
Svalbard and Jan Mayen Islands,Winter,1996,December,-3.34,Low
Switzerland,Fall,1996,September,-2.731,Low
Turkey,Winter,1996,December,3.234,High
Ukraine,Winter,1996,January,-2.831,Low
Ukraine,Spring,1996,March,-2.978,Low
Ukraine,Spring,1996,May,3.289,High
Ukraine,Fall,1996,September,-2.443,Low
Ukraine,Fall,1996,November,3.825,High
Uruguay,Summer,1996,June,-1.627,Low
Uruguay,Summer,1996,July,-2.386,Low
Uzbekistan,Spring,1996,March,-2.105,Low
Central Asia,Spring,1996,March,-2.209,Low
Central Asia,Spring,1996,April,-2.351,Low
Eastern Europe,Fall,1996,November,2.918,High
Southern Europe,Fall,1996,September,-1.689,Low
Western Europe,Fall,1996,September,-2.024,Low
Albania,Spring,1997,April,-3.431,Low
American Samoa,Fall,1997,November,2.723,High
Andorra,Winter,1997,February,3.211,High
Andorra,Spring,1997,March,3.296,High
Andorra,Summer,1997,August,2.651,High
Antarctica,Summer,1997,July,-3.972,Low
Antarctica,Fall,1997,October,-2.027,Low
Antarctica,Fall,1997,November,2.544,High
Armenia,Winter,1997,January,3.067,High
Armenia,Spring,1997,March,-2.458,Low
Austria,Winter,1997,February,2.989,High
Bahrain,Spring,1997,March,-1.975,Low
Bangladesh,Spring,1997,April,-2.453,Low
Belarus,Winter,1997,February,4.911,High
Belarus,Spring,1997,April,-2.006,Low
Belgium-Luxembourg,Winter,1997,January,-2.556,Low
Belgium-Luxembourg,Winter,1997,February,3.5,High
Belgium-Luxembourg,Spring,1997,March,3.185,High
Belgium-Luxembourg,Summer,1997,August,3.813,High
Bhutan,Spring,1997,April,-1.903,Low
Bosnia and Herzegovina,Spring,1997,April,-3.385,Low
Bosnia and Herzegovina,Fall,1997,October,-1.733,Low
Bulgaria,Spring,1997,April,-3.637,Low
Bulgaria,Fall,1997,October,-1.995,Low
Canada,Winter,1997,December,4.339,High
Central African Republic,Winter,1997,January,-2.638,Low
Channel Islands,Winter,1997,January,-2.124,Low
Channel Islands,Summer,1997,August,3.04,High
Croatia,Spring,1997,April,-2.735,Low
Cyprus,Spring,1997,April,-1.976,Low
Czechia,Winter,1997,February,3.292,High
Czechia,Spring,1997,April,-2.086,Low
Denmark,Winter,1997,February,3.667,High
Denmark,Summer,1997,August,4.573,High
Djibouti,Fall,1997,September,2.535,High
Egypt,Winter,1997,February,-2.175,Low
Estonia,Winter,1997,February,4.579,High
Estonia,Summer,1997,August,2.961,High
Estonia,Fall,1997,October,-1.802,Low
Finland,Winter,1997,February,3.119,High
France,Spring,1997,March,2.941,High
France,Summer,1997,August,3.194,High
Georgia,Spring,1997,March,-2.148,Low
Georgia,Fall,1997,September,-2.199,Low
Germany,Winter,1997,February,3.876,High
Germany,Summer,1997,August,3.501,High
Gibraltar,Spring,1997,April,3.022,High
Gibraltar,Fall,1997,October,2.603,High
Greece,Spring,1997,April,-2.94,Low
Greenland,Winter,1997,February,-2.641,Low
Greenland,Winter,1997,December,3.389,High
Holy See,Spring,1997,April,-1.947,Low
Hungary,Spring,1997,April,-2.864,Low
Hungary,Fall,1997,October,-2.044,Low
Iraq,Winter,1997,February,-2.176,Low
Iraq,Spring,1997,March,-2.071,Low
Israel,Winter,1997,February,-2.384,Low
Israel,Spring,1997,March,-2.088,Low
Jordan,Winter,1997,February,-2.775,Low
Jordan,Spring,1997,March,-2.351,Low
Kazakhstan,Spring,1997,March,4.192,High
Kazakhstan,Spring,1997,April,3.965,High
Kazakhstan,Fall,1997,October,5.637,High
Kuwait,Spring,1997,March,-2.12,Low
Kyrgyzstan,Winter,1997,January,3.675,High
Kyrgyzstan,Fall,1997,October,3.225,High
Latvia,Winter,1997,February,4.896,High
Latvia,Summer,1997,August,2.806,High
Lebanon,Winter,1997,February,-2.061,Low
Lebanon,Spring,1997,March,-2.134,Low
Libya,Spring,1997,March,-1.977,Low
Liechtenstein,Winter,1997,February,3.104,High
Liechtenstein,Spring,1997,March,2.972,High
Lithuania,Winter,1997,February,5.129,High
Lithuania,Summer,1997,August,2.508,High
Malta,Summer,1997,June,2.699,High
Monaco,Spring,1997,March,3.121,High
Mongolia,Spring,1997,March,5.301,High
Mongolia,Spring,1997,April,3.745,High
Nepal,Spring,1997,April,-2.037,Low
Netherlands,Winter,1997,January,-2.617,Low
Netherlands,Winter,1997,February,3.717,High
Netherlands,Spring,1997,March,2.884,High
Netherlands,Summer,1997,August,4.003,High
North Macedonia,Spring,1997,April,-3.908,Low
North Macedonia,Fall,1997,October,-1.965,Low
Norway,Summer,1997,August,2.97,High
Oman,Spring,1997,April,-2.185,Low
Palestine,Winter,1997,February,-2.399,Low
Palestine,Spring,1997,March,-2.099,Low
Paraguay,Summer,1997,July,2.679,High
Poland,Winter,1997,February,4.107,High
Poland,Spring,1997,April,-2.275,Low
Poland,Fall,1997,October,-1.717,Low
Portugal,Spring,1997,March,4.721,High
Portugal,Spring,1997,April,3.897,High
Qatar,Spring,1997,March,-2.102,Low
Republic of Moldova,Spring,1997,April,-2.846,Low
Republic of Moldova,Fall,1997,September,-2.428,Low
Republic of Moldova,Fall,1997,October,-1.763,Low
Romania,Spring,1997,April,-3.536,Low
Romania,Fall,1997,October,-2.259,Low
Russian Federation,Spring,1997,March,3.332,High
Russian Federation,Spring,1997,April,4.257,High
Russian Federation,Fall,1997,October,2.632,High
Saint Pierre and Miquelon,Spring,1997,March,-3.505,Low
Saudi Arabia,Spring,1997,March,-2.174,Low
Serbia and Montenegro,Spring,1997,April,-4.059,Low
Serbia and Montenegro,Fall,1997,October,-2.265,Low
Slovakia,Spring,1997,April,-2.919,Low
Slovakia,Fall,1997,October,-2.132,Low
Slovenia,Spring,1997,April,-1.844,Low
South Georgia and the South Sandwich Islands,Fall,1997,September,-2.024,Low
Spain,Spring,1997,March,3.187,High
Svalbard and Jan Mayen Islands,Winter,1997,January,-2.52,Low
Sweden,Winter,1997,February,3.384,High
Sweden,Summer,1997,August,3.388,High
Switzerland,Winter,1997,February,3.082,High
Switzerland,Spring,1997,March,3.16,High
Switzerland,Summer,1997,August,2.507,High
Syrian Arab Republic,Winter,1997,February,-2.225,Low
Syrian Arab Republic,Spring,1997,March,-2.471,Low
Tajikistan,Winter,1997,January,3.006,High
Tajikistan,Fall,1997,October,2.605,High
Tokelau,Fall,1997,November,2.709,High
Tunisia,Summer,1997,June,3.583,High
Turkey,Spring,1997,March,-1.92,Low
Turkey,Spring,1997,April,-2.371,Low
Turkmenistan,Winter,1997,January,3.069,High
Turkmenistan,Fall,1997,October,4.234,High
Ukraine,Spring,1997,April,-2.526,Low
Ukraine,Fall,1997,September,-2.321,Low
United Arab Emirates,Spring,1997,March,-2.103,Low
United Arab Emirates,Spring,1997,April,-2.11,Low
United Kingdom,Summer,1997,August,2.821,High
Uzbekistan,Winter,1997,January,3.199,High
Uzbekistan,Fall,1997,October,4.944,High
Wake Island,Fall,1997,September,-1.886,Low
Western Sahara,Winter,1997,February,3.193,High
Central Asia,Spring,1997,March,3.255,High
Central Asia,Spring,1997,April,3.342,High
Central Asia,Fall,1997,October,5.16,High
Europe,Spring,1997,March,2.969,High
Europe,Spring,1997,April,2.904,High
Eastern Europe,Spring,1997,March,3.128,High
Eastern Europe,Spring,1997,April,3.624,High
Northern Europe,Summer,1997,August,2.792,High
Western Europe,Winter,1997,February,3.292,High
Western Europe,Spring,1997,March,2.824,High
Western Europe,Summer,1997,August,3.2,High
Albania,Summer,1998,August,2.628,High
Albania,Winter,1998,December,-2.233,Low
Algeria,Spring,1998,April,2.798,High
Algeria,Fall,1998,September,2.58,High
American Samoa,Fall,1998,October,-2.114,Low
Antarctica,Spring,1998,April,-3.677,Low
Antarctica,Summer,1998,August,-1.554,Low
Antarctica,Fall,1998,September,-2.897,Low
Antarctica,Fall,1998,October,-2.611,Low
Armenia,Summer,1998,June,3.337,High
Armenia,Fall,1998,November,3.008,High
Armenia,Winter,1998,December,3.147,High
Austria,Winter,1998,January,3.033,High
Austria,Winter,1998,February,4.246,High
Austria,Fall,1998,November,-2.076,Low
Azerbaijan,Summer,1998,June,3.7,High
Bahrain,Summer,1998,June,2.558,High
Bahrain,Summer,1998,August,2.572,High
Bahrain,Fall,1998,September,2.561,High
Bahrain,Winter,1998,December,3.521,High
Belarus,Winter,1998,January,5.64,High
Belarus,Winter,1998,February,5.558,High
Belarus,Fall,1998,November,-6.031,Low
Belgium-Luxembourg,Winter,1998,February,3.194,High
Belgium-Luxembourg,Fall,1998,November,-2.07,Low
Bosnia and Herzegovina,Winter,1998,January,3.094,High
Bosnia and Herzegovina,Winter,1998,February,3.432,High
Bosnia and Herzegovina,Fall,1998,November,-2.268,Low
Bosnia and Herzegovina,Winter,1998,December,-3.184,Low
Bulgaria,Fall,1998,November,-2.12,Low
Bulgaria,Winter,1998,December,-3.799,Low
Cabo Verde,Spring,1998,March,3.149,High
Canada,Winter,1998,February,4.647,High
Canada,Spring,1998,April,3.621,High
Canada,Spring,1998,May,2.879,High
Canada,Fall,1998,November,3.081,High
China,Winter,1998,February,3.178,High
"China, mainland",Winter,1998,February,3.186,High
Croatia,Winter,1998,January,2.958,High
Croatia,Winter,1998,February,3.589,High
Croatia,Fall,1998,November,-2.076,Low
Croatia,Winter,1998,December,-2.714,Low
Czechia,Winter,1998,January,3.451,High
Czechia,Winter,1998,February,4.499,High
Czechia,Fall,1998,November,-2.489,Low
Democratic People's Republic of Korea,Winter,1998,February,4.633,High
Democratic People's Republic of Korea,Spring,1998,March,3.559,High
Democratic People's Republic of Korea,Spring,1998,April,4.401,High
Democratic People's Republic of Korea,Fall,1998,October,3.074,High
Denmark,Winter,1998,January,3.141,High
Denmark,Winter,1998,February,5.492,High
Denmark,Fall,1998,November,-2.896,Low
Egypt,Spring,1998,March,-2.058,Low
Estonia,Winter,1998,January,5.199,High
Estonia,Winter,1998,February,3.519,High
Estonia,Fall,1998,November,-4.763,Low
Finland,Winter,1998,January,3.848,High
Finland,Fall,1998,November,-2.593,Low
Gambia,Winter,1998,February,3.314,High
Georgia,Spring,1998,April,2.885,High
Georgia,Summer,1998,June,3.116,High
Georgia,Fall,1998,October,2.65,High
Germany,Winter,1998,January,3.2,High
Germany,Winter,1998,February,4.279,High
Germany,Fall,1998,November,-2.377,Low
Greenland,Winter,1998,February,-2.79,Low
Greenland,Spring,1998,April,3.358,High
Greenland,Fall,1998,November,3.008,High
Guinea-Bissau,Winter,1998,February,3.299,High
Hungary,Winter,1998,January,4.036,High
Hungary,Winter,1998,February,4.239,High
Hungary,Fall,1998,November,-2.321,Low
Hungary,Winter,1998,December,-3.563,Low
Iran (Islamic Republic of),Fall,1998,November,2.641,High
Iran (Islamic Republic of),Winter,1998,December,3.829,High
Iraq,Summer,1998,August,3.039,High
Iraq,Fall,1998,November,3.574,High
Iraq,Winter,1998,December,3.705,High
Ireland,Winter,1998,February,3.362,High
Isle of Man,Winter,1998,February,3.878,High
Jordan,Summer,1998,August,3.09,High
Jordan,Fall,1998,November,2.606,High
Kazakhstan,Summer,1998,June,2.648,High
Kazakhstan,Summer,1998,August,2.856,High
Kuwait,Summer,1998,June,2.711,High
Kuwait,Summer,1998,August,3.588,High
Kuwait,Fall,1998,November,2.878,High
Kuwait,Winter,1998,December,3.646,High
Kyrgyzstan,Fall,1998,November,2.83,High
Latvia,Winter,1998,January,5.398,High
Latvia,Winter,1998,February,4.814,High
Latvia,Fall,1998,November,-5.641,Low
Libya,Spring,1998,March,-1.962,Low
Libya,Fall,1998,September,2.82,High
Liechtenstein,Winter,1998,February,4.009,High
Liechtenstein,Fall,1998,November,-2.221,Low
Lithuania,Winter,1998,January,5.506,High
Lithuania,Winter,1998,February,5.744,High
Lithuania,Fall,1998,November,-5.799,Low
Mali,Spring,1998,April,2.783,High
Mauritania,Winter,1998,February,3.755,High
Mauritania,Spring,1998,April,3.041,High
Mongolia,Winter,1998,February,6.816,High
Mongolia,Spring,1998,March,2.812,High
Mongolia,Spring,1998,April,4.017,High
Mongolia,Winter,1998,December,3.379,High
Netherlands,Winter,1998,February,3.97,High
Netherlands,Fall,1998,November,-2.149,Low
North Macedonia,Winter,1998,December,-2.973,Low
Norway,Fall,1998,November,-1.965,Low
Pitcairn Islands,Spring,1998,April,-2.055,Low
Poland,Winter,1998,January,4.544,High
Poland,Winter,1998,February,5.617,High
Poland,Fall,1998,November,-4.092,Low
Portugal,Spring,1998,March,3.064,High
Portugal,Summer,1998,August,2.553,High
Qatar,Winter,1998,December,3.099,High
Republic of Korea,Winter,1998,February,3.067,High
Republic of Korea,Spring,1998,April,3.384,High
Republic of Moldova,Winter,1998,January,3.479,High
Republic of Moldova,Winter,1998,February,4.083,High
Republic of Moldova,Spring,1998,April,2.898,High
Republic of Moldova,Fall,1998,November,-3.946,Low
Republic of Moldova,Winter,1998,December,-4.378,Low
Romania,Winter,1998,January,3.317,High
Romania,Winter,1998,February,3.365,High
Romania,Fall,1998,November,-2.814,Low
Romania,Winter,1998,December,-4.387,Low
Russian Federation,Fall,1998,November,-3.448,Low
San Marino,Summer,1998,August,2.552,High
Saudi Arabia,Summer,1998,August,3.042,High
Senegal,Winter,1998,February,3.376,High
Serbia and Montenegro,Winter,1998,January,3.373,High
Serbia and Montenegro,Winter,1998,February,3.215,High
Serbia and Montenegro,Fall,1998,November,-2.382,Low
Serbia and Montenegro,Winter,1998,December,-3.846,Low
Slovakia,Winter,1998,January,4.041,High
Slovakia,Winter,1998,February,4.248,High
Slovakia,Fall,1998,November,-2.784,Low
Slovakia,Winter,1998,December,-2.843,Low
Slovenia,Winter,1998,January,3.378,High
Slovenia,Winter,1998,February,4.292,High
Slovenia,Fall,1998,November,-1.929,Low
South Georgia and the South Sandwich Islands,Fall,1998,November,2.985,High
Svalbard and Jan Mayen Islands,Winter,1998,January,-3.777,Low
Svalbard and Jan Mayen Islands,Winter,1998,February,-4.049,Low
Svalbard and Jan Mayen Islands,Fall,1998,November,3.518,High
Sweden,Winter,1998,January,3.683,High
Sweden,Winter,1998,February,3.622,High
Sweden,Fall,1998,November,-2.261,Low
Switzerland,Winter,1998,February,3.316,High
Switzerland,Fall,1998,November,-2.215,Low
Syrian Arab Republic,Summer,1998,August,2.654,High
Syrian Arab Republic,Fall,1998,November,3.325,High
Tajikistan,Fall,1998,November,2.776,High
Tajikistan,Winter,1998,December,3.408,High
Tokelau,Fall,1998,October,-2.129,Low
Turkmenistan,Fall,1998,November,2.555,High
Ukraine,Winter,1998,January,3.4,High
Ukraine,Winter,1998,February,3.573,High
Ukraine,Fall,1998,November,-4.121,Low
Ukraine,Winter,1998,December,-2.864,Low
United Arab Emirates,Summer,1998,June,2.524,High
United Kingdom,Winter,1998,February,3.769,High
Western Sahara,Winter,1998,February,3.695,High
Northern America,Winter,1998,February,3.583,High
Eastern Asia,Winter,1998,February,3.625,High
Eastern Asia,Spring,1998,April,2.872,High
Western Asia,Summer,1998,August,2.656,High
Europe,Fall,1998,November,-3.123,Low
Eastern Europe,Fall,1998,November,-3.482,Low
Northern Europe,Winter,1998,January,3.069,High
Northern Europe,Fall,1998,November,-2.04,Low
Western Europe,Winter,1998,February,3.179,High
Western Europe,Fall,1998,November,-1.927,Low
European Union,Winter,1998,February,3.044,High
European Union,Fall,1998,November,-1.81,Low
Afghanistan,Winter,1999,February,3.222,High
Algeria,Spring,1999,April,2.803,High
Algeria,Spring,1999,May,3.622,High
Algeria,Summer,1999,June,2.599,High
Algeria,Summer,1999,August,2.689,High
Algeria,Fall,1999,October,3.236,High
Antarctica,Spring,1999,April,-3.035,Low
Antarctica,Summer,1999,July,-1.664,Low
Antarctica,Fall,1999,September,-1.996,Low
Antarctica,Winter,1999,December,-2.808,Low
Armenia,Winter,1999,January,3.615,High
Armenia,Winter,1999,February,4.025,High
Armenia,Summer,1999,August,2.714,High
Austria,Fall,1999,September,2.723,High
Azerbaijan,Winter,1999,February,4.084,High
Azerbaijan,Summer,1999,August,2.65,High
Bahrain,Summer,1999,June,2.597,High
Belarus,Winter,1999,January,4.214,High
Belarus,Spring,1999,March,3.493,High
Belarus,Spring,1999,April,3.776,High
Belarus,Spring,1999,May,-1.902,Low
Belarus,Summer,1999,June,4.023,High
Belarus,Summer,1999,July,2.961,High
Belgium-Luxembourg,Winter,1999,January,3.237,High
Belgium-Luxembourg,Fall,1999,September,3.483,High
Bhutan,Spring,1999,April,2.978,High
Canada,Winter,1999,February,3.669,High
Canada,Spring,1999,March,4.195,High
Canada,Winter,1999,December,3.632,High
China,Winter,1999,February,3.468,High
"China, mainland",Winter,1999,February,3.477,High
Czechia,Fall,1999,September,3.397,High
Denmark,Fall,1999,September,3.59,High
Eritrea,Winter,1999,February,4.209,High
Estonia,Spring,1999,March,2.877,High
Estonia,Spring,1999,April,3.662,High
Estonia,Summer,1999,June,3.191,High
Finland,Spring,1999,April,2.967,High
Finland,Summer,1999,June,3.011,High
Finland,Fall,1999,November,2.713,High
Georgia,Winter,1999,January,3.572,High
Georgia,Winter,1999,February,3.645,High
Georgia,Fall,1999,November,-1.684,Low
Germany,Winter,1999,January,3.349,High
Germany,Fall,1999,September,3.67,High
Hungary,Fall,1999,September,2.651,High
Iran (Islamic Republic of),Winter,1999,February,3.139,High
Kazakhstan,Winter,1999,January,3.825,High
Kazakhstan,Winter,1999,February,7.017,High
Kazakhstan,Spring,1999,March,-2.014,Low
Kazakhstan,Summer,1999,August,2.516,High
Kazakhstan,Fall,1999,October,3.383,High
Kazakhstan,Winter,1999,December,3.964,High
Kuwait,Spring,1999,May,2.982,High
Kuwait,Summer,1999,June,2.557,High
Kuwait,Summer,1999,August,2.748,High
Kyrgyzstan,Winter,1999,February,4.938,High
Lao People's Democratic Republic,Winter,1999,December,-2.164,Low
Latvia,Winter,1999,January,2.948,High
Latvia,Spring,1999,March,3.296,High
Latvia,Spring,1999,April,3.776,High
Latvia,Summer,1999,June,3.268,High
Latvia,Summer,1999,July,2.537,High
Libya,Summer,1999,August,2.987,High
Libya,Fall,1999,September,3.028,High
Libya,Fall,1999,October,2.599,High
Lithuania,Winter,1999,January,3.387,High
Lithuania,Spring,1999,March,3.5,High
Lithuania,Spring,1999,April,3.491,High
Lithuania,Summer,1999,June,3.1,High
Lithuania,Summer,1999,July,2.593,High
Malta,Summer,1999,August,3.01,High
Malta,Fall,1999,October,2.965,High
Mauritania,Winter,1999,February,-2.213,Low
Mongolia,Winter,1999,February,5.244,High
Mongolia,Spring,1999,March,-2.56,Low
Mongolia,Summer,1999,July,2.891,High
Mongolia,Winter,1999,December,3.056,High
Morocco,Spring,1999,April,3.071,High
Morocco,Spring,1999,May,3.248,High
Morocco,Summer,1999,June,3.054,High
Netherlands,Winter,1999,January,3.283,High
Netherlands,Fall,1999,September,3.779,High
Norway,Fall,1999,September,3.23,High
Norway,Fall,1999,November,3.811,High
Paraguay,Fall,1999,September,2.936,High
Poland,Winter,1999,January,3.752,High
Poland,Spring,1999,March,2.95,High
Poland,Fall,1999,September,2.741,High
Republic of Moldova,Summer,1999,June,2.777,High
Republic of Moldova,Summer,1999,July,2.856,High
Republic of Moldova,Fall,1999,November,-1.744,Low
Russian Federation,Winter,1999,February,3.076,High
Russian Federation,Spring,1999,March,-2.806,Low
Russian Federation,Winter,1999,December,3.009,High
Saint Pierre and Miquelon,Winter,1999,February,3.145,High
Saint Pierre and Miquelon,Spring,1999,March,3.594,High
Saint Pierre and Miquelon,Spring,1999,May,3.335,High
Saint Pierre and Miquelon,Summer,1999,June,3.049,High
Saint Pierre and Miquelon,Fall,1999,September,3.321,High
Slovakia,Fall,1999,September,2.935,High
Sudan (former),Winter,1999,February,3.043,High
Svalbard and Jan Mayen Islands,Winter,1999,January,4.275,High
Svalbard and Jan Mayen Islands,Spring,1999,March,6.598,High
Svalbard and Jan Mayen Islands,Fall,1999,September,2.595,High
Svalbard and Jan Mayen Islands,Fall,1999,November,5.026,High
Sweden,Fall,1999,September,3.071,High
Sweden,Fall,1999,November,3.652,High
Tajikistan,Winter,1999,February,5.11,High
Tajikistan,Spring,1999,April,-1.855,Low
Tunisia,Spring,1999,May,3.88,High
Tunisia,Summer,1999,June,3.408,High
Tunisia,Summer,1999,August,4.074,High
Tunisia,Fall,1999,September,2.793,High
Tunisia,Fall,1999,October,4.094,High
Turkmenistan,Winter,1999,February,6.032,High
Turkmenistan,Summer,1999,August,2.96,High
Ukraine,Winter,1999,January,3.828,High
Ukraine,Winter,1999,February,3.097,High
Ukraine,Spring,1999,March,3.431,High
Ukraine,Spring,1999,May,-1.947,Low
Ukraine,Summer,1999,June,3.009,High
Ukraine,Summer,1999,July,2.997,High
Ukraine,Fall,1999,November,-2.369,Low
Uzbekistan,Winter,1999,February,6.906,High
Uzbekistan,Summer,1999,August,2.84,High
Uzbekistan,Fall,1999,October,2.842,High
Wake Island,Winter,1999,January,3.53,High
Asia,Winter,1999,February,3.045,High
Central Asia,Winter,1999,January,3.396,High
Central Asia,Winter,1999,February,6.713,High
Central Asia,Summer,1999,August,2.52,High
Central Asia,Fall,1999,October,3.052,High
Central Asia,Winter,1999,December,3.435,High
Eastern Asia,Winter,1999,February,3.578,High
Eastern Europe,Winter,1999,February,2.944,High
